author,first 3-gram,second 3-gram,third 3-gram,fourth 3-gram,fifth 3-gram
Tony Arcieri (iqlusion),merge pull request,pull request 318,request 318 from,318 from iqlusionincanomalyv010,from iqlusionincanomalyv010 anomaly
Jose24San,updated the way,the way history,way history tab,history tab is,tab is handling
Jose Sanchez,merge pull request,pull request 32,request 32 from,32 from jose24sanfeaturehistory_save_improvements,from jose24sanfeaturehistory_save_improvements updated
ClumsyAdmin,add files via,files via upload,,,
nachoapps,manually approved es,,,,
tmaul,small tweak to,tweak to enable,to enable software,enable software gamma,software gamma in
Paul O'Shea,checking if parallax,if parallax fixed,parallax fixed on,fixed on mobile,on mobile added
Nintendroid1,assigned values to,values to fields,to fields in,fields in arrest,in arrest data
garudamalang@gmail.com,a lot of,lot of change,,,
Sergey at ssb,started renaming for,renaming for figures,for figures code,,
meissadia,set print styles,print styles to,styles to full,to full width,
Wyatt Pearsall,merge pull request,pull request 99,request 99 from,99 from cfpbtoolprintformatting,from cfpbtoolprintformatting tools
Caleb Roseland,increase test coverage,upgrade ts374 and,ts374 and add,and add and,add and operators
edoapra,restrict np for,np for some,for some qas,some qas travis,qas travis skip
auto commit,auto update 20200101,update 20200101 085001,,,
orange451,potentially sped up,sped up parent,up parent changing,parent changing logic,changing logic in
jdizz,update readmemd image,readmemd image size,,,
Andrew Zaruba,jumping implementation has,implementation has begun,has begun this,begun this commit,this commit encompasses
Andreas Möller,fix remove possibility,remove possibility to,possibility to specify,to specify version,specify version via
withparadox2,add monitor service,,,,
cgCodeLife,create notemd changeid,notemd changeid if9d0b45b3ae82a9498fca4a9b2feff5713a21e3d,,,
jton307,set up session,up session flash,session flash message,flash message in,message in helper
George Liu,centminsh menu option,menu option 15,support in 12309beta01,default buffers in,buffers in 12309beta01
Mike Lindner,stretch octave noise,octave noise range,noise range because,range because value,because value are
Yavar Taheri Yeganeh,add files via,files via upload,,,
github-actions[bot],po auto sync,,,,
Scott Larson,updated recovery and,recovery and about,,,
Jeff Schomay,now setlink can,setlink can lookup,can lookup a,lookup a target,a target via
gahgsp,added thrust sound,thrust sound effect,sound effect and,effect and improved,and improved movement
Michael Nathan,renamed vote controller,vote controller function,,,
Przemek,finished statistics section,,,,
Andrea Carraro,fix evaluate svg,evaluate svg cy,svg cy value,cy value based,value based on
Rohit Garudadri,fixed login button,login button flashing,button flashing 780,fixed confirm email,confirm email component
martindholmes,work on issue,on issue 23,,,
Qidi Liu,old code collection,,,,
Claire Walzer,fixxed preinstall script,,,,
rtrouton,merge pull request,pull request 60,request 60 from,60 from kurehawarumaster,from kurehawarumaster improved
Brian Larsen,correct order of,order of dependencies,of dependencies for,dependencies for linter,correction to python
anmaree.osmond@gmail.com,added color game,,,,
JWulf7,am able to,able to populate,to populate employee,populate employee reimbursement,employee reimbursement table
anggi1234,add files via,files via upload,,,
Prahar Patel,updated readme with,readme with sample,with sample terminal,sample terminal output,
Ryan Johnson,merge pull request,pull request 1,request 1 from,1 from rentrydependabotnpm_and_yarnhandlebars453,from rentrydependabotnpm_and_yarnhandlebars453 bump
canihavesomecoffee,correct indentation again,check locally for,locally for the,for the file,the file presence
Koushik Dutta,http server sent,server sent callback,,,
Mark Entingh,updated rainbow logo,,,,
Rick Neff,rename files for,files for w20,for w20 semester,,
mpl,closenotifier return pointer,return pointer instead,pointer instead of,instead of value,
Ludovic Fernandez,improve documentation about,documentation about traefik,about traefik build,prepare release v211,use consistent name
Manuel Zapf,add migration guide,migration guide for,guide for traefik,for traefik v21,query consul for
Damien Duportal,add a documentation,a documentation example,documentation example for,example for dashboard,for dashboard and
Kenneth Peiruza,added externalname https,externalname https support,https support for,support for kubernetes,for kubernetes crd
Dmitry Sharshakov,dont set useragent,set useragent to,useragent to gohttpclient11,,
Tiago Boeing,fix command for,command for use,for use websecure,use websecure via,websecure via cli
Fernandez Ludovic,fix the doc,,,,
Saeid Amiri,able to find,to find obj,find obj but,obj but need,but need indexes
RajvirSingh12,update burlington countyjson,,,,
Arthur Lisek-Koper,add buttons to,buttons to send,to send random,send random input,random input signals
cloudhong-lic,add common package,,,,
Andres,added travis and,travis and added,and added encrypted,added encrypted file,
jimbob666,add simple regression,simple regression analysis,,,
Luiz Gustavo,ajustar consultas jpql,consultas jpql paginadas,jpql paginadas e,paginadas e corrigir,e corrigir validação
neithanmo,fixing plugins name,,,,
SDGGiesbrecht,generated documentation for,documentation for 129de93de6e91f1330db3c98f28bcf620f99c0fa,,,
gioryanreyes,added mobile padding,mobile padding for,padding for better,for better reading,updated padding of
play.js,upload code from,code from phone,,,
Joe Garcia,fix 83 split,83 split domain,split domain local,domain local queries,local queries for
GAierken,delete for review,for review worked,added museum id,museum id user,id user id
Peter Bergström,201624 both python,,,,
deidra,update still working,still working on,working on getting,on getting my,getting my clients
Vemahk,menu rework menus,rework menus are,menus are now,are now handled,now handled differently
Bill White,simple undo redo,undo redo 2,,,
Joe Duffy,add a 2019,a 2019 year,2019 year in,year in review,in review blog
Tim Harper,update integration test,integration test to,test to use,to use expungeafterseconds,use expungeafterseconds 0
hrsh38,merge pull request,from hrsh38ghpages updates,merge branch master,branch master of,master of httpsgithubcomhrsh38hrsh38githubio
Harsh Patel,revert fixed this,fixed this reverts,this reverts commit,reverts commit b60c787d872cff1623583cc8a0b44f53aebbfded,merge remotetracking branch
Hector Ricardo Mendez Sordia,adding more fields,more fields to,fields to packagejson,,
Calvin Weng,update community section,community section and,section and other,and other fixes,other fixes 100
zhouqiang,merge branch master,branch master into,master into bumpversion,,
abalabahaha,create tostring functions,tostring functions for,functions for remaining,for remaining classes,remaining classes removes
Stephen McIntosh,added marshmallow pudding,added link to,link to custard,,
Sahar Hagbi,added user controller,user controller dao,controller dao and,dao and service,and service layers
sangchi,revert update _rename_scripted_effectstxt,update _rename_scripted_effectstxt this,_rename_scripted_effectstxt this reverts,this reverts commit,reverts commit 8ff17b595cdec50984fb639d93fd9eaeaaa0147a
Daniel Standish,update add docs,,,,
Alexandre Gigliotti,enable page refresh,,,,
"Nathan Alden, Sr",fixed contextflag bug,contextflag bug in,bug in dispose,in dispose updated,dispose updated packages
Benjamin Lehmann,config file for,file for api,for api key,,
Micha Ober,add real suggestion,real suggestion to,suggestion to option_map_unwrap_or,,
Yuki Okushi,rustup to rustlangrust67151,rustup to rustlangrust66942,allow unused_extern_crates for,unused_extern_crates for now,rustup to rustlangrust67707
Krishna Veera Reddy,fix replace_consts lint,replace_consts lint documentation,lint documentation replace_consts,documentation replace_consts lint,replace_consts lint no
hehaowen00,run slider_fill only,slider_fill only on,only on webkit,on webkit browsers,reduce scope access
clairedavies,update info for,info for sti,for sti using,sti using iioe,using iioe data
Bharathwaj Sankara,controller scheduler kubelet,scheduler kubelet and,kubelet and proxy,,
Na Hyung Choi,move blog post,blog post alert,post alert to,alert to bottom,improve mobile view
Jarred Parr,make it stop,it stop yelling,,,
Tyler Lane,improved environment variable,environment variable check,,,
CrazyJ36,toshiba rename installlisttoshibatxt,rename installlisttoshibatxt for,installlisttoshibatxt for uniform,for uniform names,uniform names across
Mihai Codoban,log global properties,global properties in,properties in cache,in cache miss,cache miss error
haitdhn,generated code by,code by swaggerhub,,,
josephrmoore,jumpy death stuff,,,,
akkapakasaikiran,happy new year,,,,
Bob Carr,last update 1951,update 1951 on,1951 on 31dec2019,,
esta-rossa,add new files,,,,
Roberto Romero,add required option,required option in,option in mod_rewrite,in mod_rewrite section,mod_rewrite section adding
Haibo Chen,miscallenous minor updates,minor updates since,updates since the,since the intial,the intial version
ravgeetdhillon,ghactions updated website,updated website data,updated website build,,
Loren Cipriano,automatically backed up,backed up by,up by learn,,
pownkel,report test runs,test runs in,runs in health,in health api,health api 442
Maxim Laikine,merge branch master,branch master of,master of githubcommicrosoftaccessibilityinsightsservice,branch master into,master into usersmlaikinesenderdynamic2
Harshith0307,program to reverse,to reverse an,reverse an array,,
Tegon McCloud,cleanup of chess,of chess class,chess class and,class and minor,and minor fixes
Azure pipeline,test status update,status update for,update for dsbaseclientmaster,,
naagin,published from watson,from watson studio,,,
resthiana12,menambahkan nilai default,nilai default untuk,default untuk field,untuk field pengeluaran,
mattdeitke,fix brokenpipeerror caused,brokenpipeerror caused by,caused by ffmpeg,by ffmpeg writing,ffmpeg writing to
ka9cql,txlog changed nodedetection,changed nodedetection threshold,nodedetection threshold based,threshold based upon,based upon new
Kentaro Fukuchi,added resource template,resource template column,template column and,column and sort,and sort selector
mbest32,add files via,files via upload,,,
Cameron Samak,add local bin,local bin to,bin to path,to path so,path so hoogle
Brent Simmons,write two posts,two posts one,posts one for,one for new,for new public
Ishan Narula,added section on,section on setting,on setting up,setting up syncendpoint,up syncendpoint with
Sahrun,update surat kematian,,,,
ryanmbechtel,add localscroll src,localscroll src files,fix src filename,src filename in,filename in script
ahoerr2,added poster images,poster images to,images to profiles,,
software.contreras@gmail.com,changes on catalog,,,,
milek7,modifications for sim,,,,
sso66,update nodejs snippets,,,,
sapeled3,for post and,fix recommended changes,add create notification,create notification for,notification for post
Sapele Moses,merge pull request,pull request 14,request 14 from,14 from enyeteambearfeaturemosesaddlikenotificationtrigger,from enyeteambearfeaturemosesaddlikenotificationtrigger add
mablebable,it iing compiles,iing compiles d,,,
Macbook,fixing a failed,a failed test,,,
bpremkumar,changed appjs in,appjs in client,merge pull request,pull request 1,request 1 from
Andrew Abosh,fix open graph,open graph image,,,
rahultewariberkeley,added member rahul,,,,
Gabriel Chen,merge pull request,pull request 3,request 3 from,3 from rahultewariberkeleymaster,from rahultewariberkeleymaster added
CircleCI e2e rolling update,autocommit performance result,performance result update,,,
Reini Urban,dynapi remove unknown,remove unknown tests,unknown tests as,tests as the,as the objname
S Joel Franklin,add files via,files via upload,,,
deb,tasks 12 taskdetaillistsummary,,,,
hokage22,editing readme just,readme just adding,just adding in,adding in an,in an intro
Leonardo Faria,bump webpack from,webpack from 4414,from 4414 to,4414 to 4415,to 4415 324
Asnxthaony,fix 2d preview,2d preview in,preview in player,in player management,
zeptodoctor,build based on,based on 579e77f,,,
Eric Harris-Braun,remove signature verification,,,,
Ken Kundert,run flake8 linter,flake8 linter and,linter and fix,and fix issues,bump version to
fernandohernandezpaz,cambiando eje de,eje de graficacion,de graficacion para,graficacion para grafico,para grafico por
Knut Ahlers,fix totaltransportedweight seems,totaltransportedweight seems to,seems to be,to be float,be float signedoffby
Berend de Boer,format requirements properly,make examples as,examples as well,more files it,files it ignore
Eugene Koontz,je wrap in,wrap in vector,in vector as,vector as it,as it should
Nick Mitchell,featpluginspluginkubeui kubectl top,kubectl top support,top support fixes,support fixes 169,
JasonZhou404,planning pass st_bounds_deciders,pass st_bounds_deciders mappings,st_bounds_deciders mappings to,mappings to next,to next tasks
Xiangquan Xiao,hmi add storytelling,add storytelling module,tick retire unused,retire unused module,hmi retire tick
panjiacheng,planning sidepass stop,sidepass stop bug,stop bug fix,planning set ignore,set ignore decisions
wfgsy101,add dev_kit config,dev_kit config files,update the dev_kit,the dev_kit directory,dev_kit directory under
sjiang2018,planning skip path_reuse,skip path_reuse when,path_reuse when not,when not in,not in lane_follow
michael4338,paladin add validations,add validations for,validations for input,for input data,print error logs
michaelfdickey,text entry box,entry box working,box working now,,
DevTools Bot,update stats via,stats via travis,via travis cron,,
William Buck,merge pull request,pull request 297,request 297 from,297 from tylerthomemaster,from tylerthomemaster build
Birgerev,threaded world saving,threaded entity saving,reverted some packages,threading on chunk,on chunk generation
Diogo Ribeiro,structural upgrades make,upgrades make it,make it easier,it easier to,easier to add
jerome-wilson-developer,added gitpages and,gitpages and netlify,and netlify web,netlify web links,
albertgoncalves,path only for,only for linux,for linux for,linux for now,for now anyways
Alex,can rotate player,all tests passing,,,
Sean DuBois,add peerconnectionfunctionalitytestexchangemedia create,peerconnectionfunctionalitytestexchangemedia create two,create two peerconnections,two peerconnections and,peerconnections and wait
chehefen,merge branch master,branch master into,master into felixdev,,
Daniel Menchaca Luna,se agrega mappeo,agrega mappeo para,mappeo para trabajar,para trabajar con,trabajar con brakets
Max Isom,collapse navbar sooner,,,,
ww,add process mutilcpu,process mutilcpu bug,,,
Cal Stephens,add inflation calculator,inflation calculator blog,calculator blog post,,
Nicolas A. Botello Jr,merge pull request,pull request 10,request 10 from,10 from bote795featureaddtypes,from bote795featureaddtypes refactor
dtr,update at 1577839901479,update at 1577839901623,,,
Sonya McCree,project updates 31,updates 31 december,31 december working,december working on,working on dialogue
SnackKing,added tradetester page,,,,
Shira Maximov,updated hammer_cli to,hammer_cli to 0191,,,
xixuecao,61 rotate list,,,,
BlackTecno,add files via,files via upload,,,
Minsu Han,set initial files,,,,
encgoo,add files via,files via upload,,,
Abd Asis,add background on,background on register,on register form,,
tri angga utama,tambah filter item,filter item cetak,,,
limin0801,upload by picgo,,,,
DsTyM,availablepharmacy class entity,class entity created,,,
Genevieve Warren,review on staging,,,,
Robin Giese,gardening make package,make package command,package command names,command names consistent,fix bit math
Truong Nguyen`,update data file,data file at,file at 20200101t005156144z,at 20200101t005156144z ci,20200101t005156144z ci skip
froehlichA,add common home,add anonymice and,anonymice and fantasque,and fantasque fonts,switch tint2 theme
Amirali Sharifian,add introduction figures,,,,
German,cost transformation function,transformation function edited,,,
Marcos Minond,entry controller does,controller does not,does not depend,not depend on,depend on timezone
UdjinM6,wed jan 1,jan 1 004824,1 004824 utc,004824 utc 2020,utc 2020 autoupdate
Charles E. Thornton,created readme and,readme and license,and license files,,
Demarius Edwards,automatically backed up,backed up by,up by learn,,
Jenkins Toucan Toco,automatic update of,update of valuejson,,,
Austin Gil,adding project name,fixed borders sizes,,,
Brayden Marshall,went through entire,through entire vimrc,entire vimrc and,vimrc and tweaked,and tweaked settings
Logan Ralston,highlight link of,link of active,of active page,active page on,page on navbar
michael sandoval,solved the issue,the issue of,issue of rendering,of rendering a,rendering a new
Stephan Risi,merge pull request,deleted old preprocessing,old preprocessing files,pull request 59,request 59 from
Peiling Ding,update for 20191231,,,,
nprindle,add mapping in,mapping in nix,in nix files,nix files to,files to insert
Charles Provencher,dispatchfile initial commit,initial commit with,commit with test,with test task,
Jonathan Boiser,fix afunction commands,afunction commands for,commands for js,for js using,js using treesitter
t9md,merge pull request,pull request 1134,request 1134 from,1134 from jonboiserfixaf,from jonboiserfixaf fix
Erik Alfvin,responsive header sizes,header sizes for,sizes for mobile,for mobile responsive,mobile responsive orbit
vade,use gt for,gt for strip,for strip logic,strip logic fixes,logic fixes multiple
simiyen,half of mac,of mac complated,,,
Joel Parker Henderson,reword demo tags,demo tags as,tags as per,as per bonnie,refactor demo from
tylerthome,merge pull request,pull request 294,request 294 from,294 from hackforlatomdemo,from hackforlatomdemo create
Soup-de-Loop,last travis error,travis error missed,error missed a,missed a double,a double space
qronix,refactored login form,login form to,form to register,to register and,register and login
mokumus,happy new year,new year commit,year commit also,commit also aco,also aco tests
"Nicolas ""Pixel"" Noble",slightly moving a,moving a signal,adding pio devs,pio devs verilog,devs verilog files
Tiffani,add footer to,footer to art,to art page,footer to blog,to blog and
Tiffani Elmore,merge pull request,pull request 5,request 5 from,5 from grace000addcontactfooter,from grace000addcontactfooter add
Vish Potnis,added default flask,default flask env,flask env file,update requirementstxt for,requirementstxt for dotenv
Hasan Unlu,mainc is added,,,,
tao.lu,happy new year,new year 2020,year 2020 i,2020 i did,i did it
mhandipranata,result image added,image added to,added to readmemd,,
Sanyam Kapoor,remove cli module,migrate ddpg to,ddpg to new,to new modules,
Fitor Bogi Irawan,membuat file test,file test baru,test baru txt,,
Matthew Mingde Zeng,use documentdocumentelementclientheight to,documentdocumentelementclientheight to scroll,to scroll page,,
Johan,chore move chord,move chord finder,chord finder result,finder result to,result to separate
Håvar Henriksen,pontoon update norwegian,update norwegian bokmål,norwegian bokmål nbno,bokmål nbno localization,nbno localization of
zackees,adds google site,google site map,,,
mbatoul,write historical data,historical data script,,,
serik1987,added loading metadata,loading metadata from,metadata from the,from the manifest,the manifest file
Scott Matsuda,automatically backed up,backed up by,up by learn,,
Rheinard Korf,fixawsamplifyauth 3855 add,3855 add identitypoolregion,add identitypoolregion to,identitypoolregion to core,to core parser
Aryan J,fixawsamplify delete unused,delete unused amazonaipredictionsprovider,unused amazonaipredictionsprovider import,amazonaipredictionsprovider import 4629,
Praveen Gupta,fixes 4225 decouple,4225 decouple local,decouple local storage,local storage key,storage key amplifysigninwithhostedui
Dustin Noyes,rolling back accidental,back accidental commit,accidental commit rolling,commit rolling back,issue4449 4480 switching
elorzafe,fixawsamplifypubsub reconnect issue,reconnect issue 4618,,,
Xackery Xtal,added tag support,,,,
Alex Castells,tasklgtm add static,add static code,static code analyzer,code analyzer badge,
balace ballack,server management of,improved server management,management of gallery,of gallery pics,gallery pics added
Dilip Sundarraj,removed the unwanted,the unwanted tests,,,
q--,svg logo for,logo for red,for red hat,update red hat,red hat url
Paul Phan,add pagefly landing,pagefly landing page,landing page builder,,
Arnaud Ligny,catch cecil version,cecil version 1,version 1 _phpoole_,1 _phpoole_ is,_phpoole_ is no
Hendrik Söbbing,add detection patterns,detection patterns for,patterns for shopware,for shopware 6,shopware 6 signedoffby
Ali Aghaie,update shopfa icon,,,,
Abhinav,add expertrec site,expertrec site search,,,
Websale,changes for websalerecognition,merge pull request,pull request 1,request 1 from,1 from websalewappalyzerwebsale
みかんのめがね,add japanese language,japanese language ive,language ive added,ive added the,added the japanese
noahfranco,site is mobile,is mobile responsive,mobile responsive and,responsive and looks,and looks good
Devin Halladay,fix issues get,issues get user,get user auth,user auth part,auth part 1
Lee Bardon,automatically backed up,backed up by,up by learn,,
Mircea (Mark) Halmagiu,using the issues,the issues api,issues api instead,api instead of,instead of the
thelamer,bugfix for neon,,,,
Antony Messerli,merge pull request,pull request 470,request 470 from,470 from netbootxyzkdefix,from netbootxyzkdefix bugfix
LaughingBudda,added member aditya,,,,
underunderstood,airtablegithubexport update mcflurrygeojson,,,,
LesLiu94,added domain objects,domain objects enums,objects enums and,enums and a,and a composite
Hazem,add pythontoexe project,,,,
osrsbox,updated monster database,monster database push,database push pypi,push pypi version,pypi version 1223
Gavin Howard,fix the main,the main source,main source file,,
Ocean-ey,update code description,code description code,description code no,code no longer,no longer requires
sabarish.sasidharan,user story 2002,,,,
davidbyoung,changed composer to,composer to prefer,to prefer stable,prefer stable packages,stable packages which
Mirko Brombin,fix issue 1,,,,
Damien Elmes,drop isort req,isort req completely,req completely to,completely to work,to work around
Andrew Leverette,update leap solution,,,,
bot,20200101t00520000 skip ci,,,,
Mahmudul Hoque,working on password,on password reset,password reset email,,
ItsDeltin,fixed calling variables,calling variables in,variables in indexed,in indexed variables,indexed variables as
Zack Johnson,created first map,first map temp,map temp art,temp art first,art first map
terrypacker,add role vs,role vs rolevo,vs rolevo concept,rolevo concept and,concept and write
Alan Field,robot triggering ci,triggering ci on,ci on branch,on branch releasenext,branch releasenext after
"Pai, Darshan S",example daily 407,,,,
Rietty,finished day 5,day 5 2015,,,
ymatuhin,source changes for,changes for v202,for v202 rewrote,v202 rewrote checking,rewrote checking logic
David Cornelis Groothuizen Dijkema,changed recursion rules,recursion rules to,rules to avoid,to avoid generating,avoid generating a
Montana Mendy,using axiospromises to,axiospromises to return,to return vuns,,
Rick Cogley,logr new post,new post 20200101095245,,,
phorton1,year end commit_push,,,,
Crista Lopes,minor aesthetic improvements,,,,
jerryfishzz,user behavior state,behavior state modification,state modification feat,modification feat rename,feat rename userbehavior
Martin Drab,launcher add the,add the first,the first implementation,,
Adrien Tateno,implement triggers and,triggers and terminal,and terminal dimension,terminal dimension handling,
the crafty coder,linking markdownmd to,markdownmd to readmemd,,,
kosukesaigusa,rebuilding site wed,site wed jan,wed jan 1,jan 1 095251,1 095251 jst
Shizcow,another slight performance,slight performance boost,performance boost in,boost in term,in term switching
Gábor Csárdi,dontshow etc in,etc in examples,docs for the,for the clone,the clone method
Hadley Wickham,normalizepath before passing,before passing to,passing to digest,add google analytics,template param was
Jennifer (Jenny) Bryan,formatting links house,links house style,house style 942,,
Mikkel Meyer Andersen,missing x 946,,,,
Jim Hester,add google analytics,google analytics key,,,
ftc9881,here comes everything,comes everything else,,,
FreedomFries37,more work on,work on error,on error reporting,added more to,more to gitignore
TechnoStudy,day 12 practice,,,,
Daniel Bennett,dramatically speed up,speed up chapter,up chapter tap,chapter tap selection,only show next
Duncan McGreggor,tweaks for travis,for travis build,,,
AliKhyar,created using colaboratory,,,,
Vashishtha Jogi,moar dark mode,dark mode support,,,
gun1x,intermediate push to,push to prepare,to prepare sense,preparing for sense,
gforney,merge pull request,pull request 919,request 919 from,919 from gforneymaster,from gforneymaster rename
GSantos23,rpsgamepy rock paper,rock paper scissor,paper scissor game,,
JavierCollipal,typescript changes works,changes works its,works its time,its time to,time to study
Aaron Clayton,added jshint removed,jshint removed all,removed all current,all current page,current page refernces
lupantech,polish new template,new template layout,template layout bibs,layout bibs icons,
Michael BAILLY,add application layout,application layout documentation,layout documentation file,documentation file this,file this doc
Frédéric MARTIN,adding some documentation,some documentation about,documentation about linsharecore,about linsharecore architecture,
Cubity,update mobs remove,mobs remove some,remove some people,everything is so,is so fucking
Evan Coulson,added libvips to,libvips to install,,,
Nicolas Noble,merge pull request,pull request 174,request 174 from,174 from nicolasnoblehardware,from nicolasnoblehardware adding
Riccardo Calligaro,tested project in,project in ios,in ios environment,ios environment added,environment added swift
Rohan Murthy,remove check and,check and fix,and fix check,,
Andrell Bower,poseidon fireincidentsmd last,fireincidentsmd last updated,last updated 20191231,updated 20191231 20191230,date modified from
Babatunde Adelabu,fix recent project,recent project array,project array display,array display bug,
Douglas Gorand,updates for heroku,for heroku deployment,,,
Ian ORourke,fixed team list,team list logic,,,
Anthony Rossi,reformat code to,code to have,to have consistent,have consistent style,consistent style across
Ayoub Zayati,implement connections requests,connections requests list,requests list with,list with accept,with accept and
Jerome Haltom,changed to ref,to ref struct,ref struct which,struct which seems,which seems doable
eoli3n,try fish command,fish command in,command in front,in front of,front of instead
石头,docs 添加 docs,添加 docs 作为次级文档目录,,,
Seongjun Yun,revert darkmode every,darkmode every page,every page flickering,page flickering when,flickering when loading
THGABS,update zh_cnlang new,zh_cnlang new translation,new translation from,translation from chinese,from chinese minecraft
srg74,update readmetxt minor,readmetxt minor editing,,,
Abid Khalil,updating file metrolinkhtml,updating file tubehtml,updating file overgroundhtml,,
lizlove,basic layout is,layout is aok,,,
zairazu,poseidon fireincidentproblemaggmd last,fireincidentproblemaggmd last updated,last updated 20191231,updated 20191231 20191230,poseidon datainventorymd last
SYOfficial,removed some mustard,,,,
qui,fix bug gen,bug gen class,,,
Tom McDonald,hide jit helper,jit helper frames,helper frames in,frames in dac,in dac stackwalker
angelruiz,revert working in,background of fragmentussinggit,this reverts commit,working in design,in design of
Darren Fu,modal style in,style in line,in line with,line with rest,with rest of
Dr2n,merge pull request,pull request 10,request 10 from,10 from willcsfeaturenewmodalui,from willcsfeaturenewmodalui modal
Christian Mahler,preserve symbolic links,symbolic links on,links on zipping,on zipping binary,
Artur Alves,refactor handevaluatorgetstrength part,handevaluatorgetstrength part 33,,,
PaulDuanGitHub,site updated 20191231,updated 20191231 195326,,,
Khem Raj,rwmem update to,update to latest,to latest to,latest to include,to include stdexcept
michael-doll,of httpsgithubcommichaeldollfullstackmicrowebapplicationserver into,httpsgithubcommichaeldollfullstackmicrowebapplicationserver into dev,into dev conflicts,dev conflicts targetclassesapplicationproperties,merge branch jack
Harry R. Schwartz,add giant chocolate,giant chocolate trifle,chocolate trifle photo,add vegetable broth,vegetable broth photo
4342315yc,updated taburelavant info,,,,
xgreyskiesx,port changes from,changes from hubbot,,,
Ali Sani,added manifest and,manifest and service,and service worker,,
Athlon1600,better itag parser,,,,
Eric Kerwin,using spring for,spring for a,for a little,a little niceness,
Tfarcenim,fix item deletion,item deletion issue,deletion issue fix,issue fix oversized,fix oversized itemstacks
King Lemming,merge pull request,pull request 49,request 49 from,49 from tfarcenimtfarcenimpatch1,from tfarcenimtfarcenimpatch1 fix
Trinsdar,gtc gtcx ic2c,gtcx ic2c compat,fixed a couple,a couple recipes,
epistemik,remove build folders,,,,
John Ralls,put the version,the version back,version back to,back to 3900,merge branch maint
Geert Janssens,report fs cleanup,fs cleanup move,cleanup move business,the standard reports,standard reports directory
willi,adjust code smells,adjust stop draw,,,
Michael Goodnow,add match controller,,,,
dloush,set theme jekyllthemecayman,set theme jekyllthemeslate,,,
Umesh,toggle background if,background if cancel,if cancel clicked,,
csagan5,automated download counters,download counters update,specify that most,that most headers,most headers are
Hampus,update readmemd changed,readmemd changed so,changed so that,so that it,that it is
Pichi,add ios ci,ios ci on,ci on azure,,
SrSabetodo,even more proper,more proper spacing,,,
neilisaac,fix lint warnings,add github actions,github actions jobs,just run on,run on versions
Jon Carlson,merge pull request,pull request 12,request 12 from,12 from neilisaacci,from neilisaacci use
Nick N,add basis for,basis for chat,for chat drawer,,
Matt Schlenker,adds some google,some google analytics,,,
Anthony Alves,opentelem traces impl,,,,
Selfedelics,selfedelicscom gitsync automatic,gitsync automatic commit,automatic commit from,commit from selfedelics,
tarlepp,refactor removed obsolete,removed obsolete prefix,obsolete prefix on,prefix on action,on action type
Talen Fisher,fix analyzer exception,analyzer exception microsoftcodeanalysisanalyzers,exception microsoftcodeanalysisanalyzers appears,microsoftcodeanalysisanalyzers appears to,appears to be
ensorcell,set theme jekyllthememerlot,,,,
nik707,fixes planetary falling,,,,
Tristan,removed conflicting backlight,conflicting backlight statements,,,
jiokeokwuosa,restructured folder structure,,,,
almeida-samuel,adding id to,id to serialized,to serialized pictures,,
Brian T. Rice,fix for javascript,for javascript not,javascript not calling,not calling decodemessage,
Jesse Lee,more building dramatic,building dramatic speech,,,
awy2020,add files via,files via upload,,,
Todd Zmijewski,integrate ngrx data,ngrx data into,data into ads,into ads and,ads and replace
Mikael Hanell,added read me,,,,
Eduardo Fernandez,automatically backed up,backed up by,up by learn,,
billynguyenlss,created using colaboratory,,,,
Andrew Tridgell,added emuecu efi,sitl added emuecu,emuecu efi simulator,ap_serialmanager allow for,allow for more
Egor Kostan,update readmemd noheadingpunctuation,readmemd noheadingpunctuation dont,noheadingpunctuation dont add,dont add a,add a trailing
Jiun Kim,baekjoon baek joon,,,,
Michael Parker,update certissuer module,certissuer module to,module to work,to work with,work with gcp
Chris Schreiber,merge branch master,branch master into,master into eng1443gittyupjenkinspipeline,,
A-Zahra,add contact to,contact to game,to game page,,
yvt,swrast fix panicking,fix panicking with,panicking with zeroarea,with zeroarea elements,
xfmeng17,featcpp4 review median,review median sorted,median sorted arrays,sorted arrays remember,arrays remember this
小林信裕,create the docker,the docker environment,,,
ethaneee22,merge branch master,branch master of,master of httpsgithubcomryanhechtmcparksresourcepack,,
Hunter Pugh,merge pull request,add skeleton code,reorganize files and,files and folders,add sensor reset
lucascheng,commit 10ths week,10ths week homework,,,
Raboliot Le Gris,fractal first version,first version of,version of zoom,of zoom that,zoom that almost
nhloder,merge pull request,pull request 21,request 21 from,21 from oberonlowill,from oberonlowill small
Oliver,header added a,added a header,,,
hellenxu,news of as,of as a,as a bit,a bit wrap,bit wrap up
Bartłomiej Sienko,move global style,global style to,style to indexjs,,
Arthur Vickers,than the max,the max bounded,max bounded length,throw if identifying,if identifying foreign
Smit Patel,query improvements to,improvements to navigation,to navigation expansion,navigation expansion skiptake,expansion skiptake does
Abdul-fatai,restructuring code to,code to use,to use context,,
Shen Yang,added ability to,ability to fill,to fill input,fill input with,input with abbreviation
Carlos Arturo Vargas,estilos del logo,del logo hechos,,,
Ryan Henning,working on dashboard,,,,
Russell Standish,throw exception if,exception if variables,if variables type,variables type does,type does not
SuzeShardlow,adds jekyllcache to,jekyllcache to gitignore,,,
haringma15,implement portfolio button,portfolio button functionality,,,
Mertcan GÖKGÖZ,change some stuff,,,,
